ts,participant_id,worker_id,completion_code,phase,group,assign_index,assign_source,trial_index,stimulus_id,target_char,response_char,correct,modality,family,condition,gate_ms,progress_pct,is_filler,check_kind,is_catch,n_choices,rt_ms,actual_ms,actual_frames,actual_s,progress_source,base_anim_ms,ua,dpr,screen,touch,refresh_hz,audio_device,resume_count,resume_gap_s,version,config_version,is_test,q_set,replays
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,0,stim-0,あ,か,FALSE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,800,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,1,stim-1,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,801,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,2,stim-2,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,802,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,3,stim-3,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,803,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,4,stim-4,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,804,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,5,stim-5,あ,か,FALSE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,805,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,6,stim-6,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,806,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,7,stim-7,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,807,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,8,stim-8,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,808,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,9,stim-9,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,809,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,10,stim-10,あ,か,FALSE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,810,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,11,stim-11,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,811,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516031,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,12,stim-12,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,812,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516032,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,13,stim-13,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,813,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516032,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,14,stim-14,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,814,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516032,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,15,stim-15,あ,か,FALSE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,815,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
1787308516032,curltest-mt2tc8s9-trials,w,,calib,aprime,9,server,16,stim-16,あ,あ,TRUE,transfer_audio,fade,g1,120,55.5,FALSE,,FALSE,68,816,120,7,0.12,raf,400,node-test,2,1920x1080,FALSE,60,earphone,0,0,test,prov-2026-08-21,TRUE,,
